,Group,A0A0C4DH43,A2M,AFM,AHSG,AKR1B10,ALB,ALDH1A1,ANGPTL6,APOA1,APOC3,APOC4,APOM,APP,ASGR2,ATP2C1,AXL,BPIFB1,C2,C4A,C9,C9JG08,CALML5,CASC4,CD109,CD5L,CD82,CD93,CDHR2,CFD,CFHR2,CFL1,CLSTN1,COL14A1,COL1A1,COLEC10,COPA,CPE,CSF1R,CSPG4,CTBS,DKK3,DPEP2,DPT,DSC1,ECM2,EMILIN1,ERP44,ESAM,F10,F13B,F5,F7,F8,FAM151A,FAM20C,FBLN2,FBLN5,FBN1,FCGBP,FCN1,FCN3,FETUB,FGFR1,FGG.1,FLT4,FST,FSTL1,GANAB,GOLM1,GSN,HPD,HSP90AA1,ICAM3,IGF2,IGFBP4,IGHM,IGHV3.49,IGJ,IGKV1.8,IGLV3.10,IGLV5.45,IGLV7.46,ITIH3,KIT,LAMA2,LAMC1,LCAT,LPA,LRRFIP1,LTBP2,LUM,LYVE1,LYZ,MADCAM1,MANSC1,MEGF9,MFGE8,MGP,MTTP,MUC5AC,MXRA5,MYL12A,NID2,OIT3,OMD,ORM1,P01718,P2RX1,PCBP1,PCYOX1,PDGFRB,PDLIM1,PF4V1,PGLYRP2,PLTP,PLXDC1,PLXDC2,PMEL,PODXL,PRG2,PROZ,PSMB2,PTGDS,PTPRC,PTPRJ,PTPRZ1,RCN2,REG3A,RPL15,RPL28,RPLP2,RPS18,SERPINA4,SERPINA6,SERPINA7,SERPING1,SEZ6L2,SHBG,SLC1A5,SPN,SPP2,SUSD5,SVEP1,TAGLN2,TF,TGOLN2,THBS4,TIMD4,TNC,TXNDC15,VASN,VCAN,YWHAB,YWHAE,YWHAG,YWHAZ
PDAC_35_imputed_intensity,0,261251.074058977,640349999.999999,51035000,3.417e+09,237218.169888532,1.7018e+10,314898.348364268,6461300,3141800000,334380000,207714.631690632,251800000,185116.799582104,388131.205820166,594697.940941493,154333.440389244,329074.013533537,3466700,577410000.000001,86820000.0000001,343766.231751453,7993200.00000001,4365200,3050100,107080000,626127.82460513,15396000,7996500,31102000,7174600,207326.849442094,8047500,2375500,111696.297779494,476844.802287191,430993.564533728,289769.494596912,6264100,20638000,169463.506129995,73563000,2718500,81382.4233388595,7433700,7333800.00000001,13346000,543879.027403886,308230.42317211,1.416e+09,12554000,3.766e+09,6254600,143660000,411591.006359157,111690.365523546,17435000,1571400,8175900,1484000,9996400,10332000,7948000,7991999.99999999,377400000,54775000.0000001,262887.671570942,6522800.00000001,100620000,58993000,88136000,254769.464562638,64601000.0000001,2270600,12170000,54225000.0000001,1238100000,377486.948801652,95797000.0000001,1895700,15973000,3276800,54489000.0000001,2331900000,269286.276556454,44542000,40818000,10017000,386530000,970539.999999999,30090000,367990000,57950000,7268100,4925400,4921500,4667000,108747.245197637,282129.47459448,276004.858178115,236536.265924402,8344500.00000001,124227.252668069,1655300,32108000,12124000,423520000,315329.306525674,593191.253921948,343173.755692561,14157000,41904000,262508.749933148,4511999.99999999,33312000,36427000,26718000,48270000,4973500,50847000,16073000,173560000,427665.119607548,525742.938230404,439817.719461882,34101000,6426900,252077.81625149,195566.634597107,710837.290645132,327723.826162004,34095000,166504.907513304,31063000,12444000,6110300,2599900000,14607000,7448199.99999999,359537.028708792,407064.510865718,23869000,30196000,9227100,236179.686446881,1.554e+09,6308700,3331500,8990700,1463700000,11112000,2409400,14417000,6331500,58070000,14653000,57792000
PDAC_36_imputed_intensity,0,867352.041222219,1733700000,42966000,1.874e+09,182014.237473538,2.0711e+10,881812.549047701,2330800,4.073e+09,534860000,9145600,117900000,121237.620608429,220436.611700857,152437.500121111,42994.2177070562,97051.4804905941,7095100.00000001,1141700000,133940000,251569.955234192,1599400,2103000,2376600,80855000,361505.129717728,27345000,211021.410022256,29080000,32640000,505694.764452964,8053900,1702700,695629.084147584,314468.591229766,2503600,231989.912369373,38295000,7082000,156242.322440541,42637000,404293.089390595,7513700.00000001,2543270.21154565,15221000,10301000,6453300,253381.538528374,974979999.999999,11946000,2084400000,5325200,39813000,947879.645052336,327654.88167105,9681199.99999999,3899900,20769000,13729000,4338200,21185000,8927399.99999999,6962099.99999999,695330000,7297100,294940.352865023,2925100,75775000,36290000,108880000,390737.244633317,51964000,2805700,186116.476654856,56727999.9999999,1362300000,25092000,125410000,7497700,44806000,6654199.99999999,94399000.0000001,1261300000,9520300,22920000,14109000,6632500,145990000,1659500,26589000,506500000,52089000,12291000,4857400,4274300,2940900,269341.697941162,480854.234914007,172118.148601242,192904.994392195,343358.293653764,5889000,1486800,31473000,11390000,1099200000,14415000,538190.470248527,1052183.25022406,18162000,3227400,235074.184060146,339600.514406306,41675000,13567000,25653000,49396000,8244200,46525000,12728000,69241000,1572889.53509833,8935800,3508000,15810000,8476999.99999999,180708.579610604,428615.699248142,714576.831185284,438458.436039895,10239000,212441.972802507,32965000,30239000,18314000,2129400000,20526000,5308900.00000001,597760.419175245,366206.289313203,5699000,19047000,8038800,2806400,3052800000,3691000,4080700,3479600,743529999.999999,4365400,2352900,23377000,35380000,97766000.0000001,18875000,186510000
PDAC_37_imputed_intensity,0,57235000,2.1136e+10,88693999.9999999,1101300000,166851.012680704,8794899999.99998,431523.300273985,147401.781788409,4445500000,149520000,12633000,191710000,8779899.99999999,293350.148226814,55822.0003524328,159448.020241631,324930.925942527,18015000,2.06e+08,146060000,315424.602040384,737600.000000001,441971.221847749,54521.6227280184,1106400000,1598000,1439600,220720.451781515,24738000,71418000,5828800,361137.303161209,489143.538456985,135938.385967133,177686.908907004,236096.104519727,136503.184275613,243342.606641148,686955.600399389,392628.675917804,93633.5138905156,200854.99605536,381242.418944478,5883100,763490,4906300,148268.966494051,63433.6341169768,23231000,13765000,10461000,4250400,781382.409654585,258447.895102783,548485.356605735,91848.6329444587,224780.807442504,2146300,758400000,445554.574417024,200790000,7869000,111456.002196014,112744.671522107,346064.188284999,299375.037804892,192843.407995117,78997000,248454.60828364,226970000,72142.8246560124,89776000.0000001,423681.134369023,353385.315665659,13778000,1.7179e+10,57019999.9999999,1415700000,22172000,14679000,48575000,685849999.999999,51873000,188144.418123979,67746.1159435139,462540,9381599.99999999,17899000,471008.89040254,689474.202979211,54468000,781235.247463219,24939000,244769.949019889,528745.914900848,158627.231542948,2983000,187986.35239105,331983.397591729,213342.01208523,149959.480198308,8611800.00000001,559320.657354061,229165.078994448,101426.600671266,489750000,46873000,166868.505053593,643906.340943646,15018000,1012408.06584806,114192.156488317,317759.327216415,97916000.0000001,12426000,578049.597924178,3274300,550894.249904778,162123.654145424,102215.552570021,225735.839992915,279396.644139863,9944999.99999999,633662.63148793,816224.081871644,79128.3383116088,227630.461226426,290495.813217942,483884.455179199,120809.136667169,202701.905764821,219859.601567696,52695000.0000001,64306000.0000001,41531000,254160000,1018987.36508058,6518400,523831.490085047,918745.675360709,8583299.99999999,554440.003256663,137318.74777395,20065000,5045099999.99999,100379.239084204,1116581.83069111,188598.456259864,897791.655352129,410485.379952749,5301900,251028.395706281,12010000,25230000,3867800,14403000
PDAC_38_imputed_intensity,0,108310000,4780100000,151480000,4958300000,532151.750088264,1.2735e+10,104529.297860105,806620.000000001,3864400000,2.812e+09,86112000,429800000,3098300,1821300,1890200,1632300,509913.405330587,42339000,332570000,80139000.0000001,277977.346241253,1498300,526155.256775451,3056300,43817000,3988700,2926100,1289000,44017000,12105000,6972200,263567.998067791,128607.487660355,294980.966249321,340573.943965508,138005.00281854,366864.25487387,1915500,350108.340807063,1719000,7274299.99999999,207823.374963648,503524.308267787,4803500,2440700,4395400,288502.553620296,78649.3681628091,427580000,28515000,206010000,187137.187926773,791170.000000001,586864.625496903,229945.21466937,195489.392249197,310376.992519728,711814.299194604,19436000,194897.328206225,113960000,25639000,314897.888054478,49012000,3333400,421330.190077853,719190.000000001,42747000,1679700,212400000,182780.640240323,9890900.00000001,395083.012805355,309994.456733053,17884000,760490000,91995000,118730000,9020800,76008000.0000001,20059000,221520000,269600000,749321.009504479,10983000,1245300,16472000,899470,307842.654071351,289219.181575573,107270000,177256.19455754,7497199.99999999,653009.389407715,704880.947674211,56484.0786997087,1248677.3445872,315910.004400222,330513.974256687,332008.250091977,223960.302689817,6140100,226201.879547834,2974100,181557.848734041,983870000,19923000,834907.317345313,1128895.05799523,163020000,115536.747640551,8454699.99999999,13836000,105260000,27323000,121674.264764332,9998399.99999999,150591.585983966,612944.841170951,1067527.83466506,119390000,876162.372754111,301317.597996754,427648.462031627,2511800,212596.978570159,191296.257283958,252132.047359681,730258.436150288,426559.870020246,516592.160967484,157824.978412377,103400000,123550000,57837000,618620000,195993.901078783,13131000,892646.098073434,195518.841947111,374129.739138255,290635.063419213,256924.912865061,69471000,5576800000.00001,164890.460240873,6439300,235341.525230197,19680000,565114.499676584,8949399.99999999,206343.776798966,12604000,7719100.00000001,3095300,63480000.0000001
PDAC_39_imputed_intensity,0,4999199.99999999,2726300000,200310000,4189900000,223702.123117687,28732999999.9999,162554.327560168,237115.701426569,1.8687e+10,4601099999.99999,48926000,918540000.000001,3428500,133679.651881314,375038.909990579,287645.869866792,4106000,30921000,115100000,55748000,344455.277022145,511312.606571799,291254.169535629,63661.630508074,96852000,2036400,636068.782290757,127660,63174000,19097000,135959.686712362,529630.099136389,397732.868615942,296869.155945598,325023.553351154,121910.294964294,37943.7998837621,1670200,544564.845075681,402001.431715116,1405400,298072.57569823,192149.872992847,7771500.00000001,6561600.00000001,469611.911549501,154473.535336805,336354.486475235,449560000,33606000,84325000.0000001,473530.777981034,757557.060829256,92780.4703806922,218746.563613624,58938.5509175711,586149.95964862,261271.930026446,6916099.99999999,38164.9435047999,77407000.0000001,36527000,958068.903503457,131751.246853735,10686000,727749.670985471,1113300,7357700,1277500,473470000,516736.676006935,1020707.1837399,93068.3833667058,339358.634634983,15823000,2281800000,105770000,187420000,416084.779624323,92141000,13407000,129280000,79253000,39394.7303174372,401877.061210868,146102.281974747,32849000,726700.000000001,103352.839765946,412321.057062514,157810000,121706.105743049,13635000,426471.825199664,401864.285274004,1136762.25484478,6949599.99999999,726581.371720119,224213.615364511,340037.433994116,289321.352221649,148952.814875113,461069.769249287,4084300,225141.701205963,1297400000,26653000,219891.555315296,509754.022473886,82119000,268648.182700286,493788.553688738,785841.322642894,219770000,88088000,154347.910508449,1980700,298224.503856259,86186.9137543921,329187.491759621,55124000,306078.604123062,573579.910644273,285748.698868607,1902600,642632.337567922,102995.438510671,224415.625800965,954003.449985008,501796.796024701,272816.204302745,237883.112530836,113720000,100930000,79808000,300170000,1011784.84384571,13919000,273395.370129405,273667.465360233,971726.968760915,311455.111601564,319680.376089309,14221000,9940800000,454294.376544687,11824000,97392.9427713414,3770100,265124.606284023,3879600,921319.265253646,378509.104505111,273566.028478713,171688.785144732,147576.324616785
PDAC_40_imputed_intensity,0,502697.66545174,4016500000,153310000,2869600000,349321.932075583,1.5416e+10,2289500,223233.040419045,5680899999.99999,2.207e+09,178620000,652950000,2320700,687652.216818059,456571.91928028,262713.147032851,687810,36943000,1.18e+08,47497999.9999999,366671.661676039,22514000,198163.078798533,1316900,65077000,1439300,1945200,200607.972869365,77174000,28391000,10142000,445006.947354198,408594.264124511,9400899.99999999,104119.236453402,351926.776316891,112545.119381653,2624400,1630900,1805600,4971000.00000001,142714.573093405,196674.812521174,8470800,202218.386071771,1520700,249377.290693133,207198.880541497,156780000,36245000,89651999.9999999,502960.04739891,292210,198325.385361096,368424.805490067,311677.146097083,235314.749782536,218054.238404709,29596000,253851.074061669,58018999.9999999,20057000,227461.066362796,406858.457691862,3858800,111729.565100784,232567.831451119,7752799.99999999,3057400,330690000,174024.934013006,7331100.00000001,486146.23488091,360493.153715968,17840000,1.578e+09,33265000,95267000,4020100,91039000,27619000,99400000.0000001,106750000,301871.348316427,6203300,733430,5776200,615149.608271306,143628.002143624,307373.829628644,118040000,313424.208666712,8889500,145792.84728668,171673.314945068,177884.037964723,2679000,211594.974367203,234081.639688943,210435.275718918,385787.895377931,232820.356937666,303987.238285751,1081200,253163.139622027,575280000,7832699.99999999,526289.811028344,13302000,91858000,277195.413355614,8027900,12144000,125950000,47225000,95727.1910464911,6767300,322679.365971905,96063.3203225996,856972.527761046,10497000,256985.666946512,337799.681683779,129141.285632544,1504700,97160.3287788082,133653.729039704,691117.673334902,131587.03279754,291766.870203376,327904.027345929,204719.691675734,81787000,107970000,46949000,435510000,460914.864116125,35706000,540425.936350063,216171.43496424,3817300,151243.561060421,510000,92361000.0000001,7079099999.99999,2006400,6356400,322055.340746563,406160.141560758,544562.292789255,12534000,1208600,446628.078142934,3836900,2111800,11602000
PDAC_41_imputed_intensity,0,98922000,5.066e+09,198800000,3651800000,270276.354043329,2.415e+10,1209548.69511823,1711100,1.5677e+10,2973800000,43750000,443940000,4854100,215004.012337086,274523.545019839,142190.042676614,6496600,27999000,91642999.9999999,105430000,151063.736329772,4210100.00000001,181790.399820878,409897.600465168,134670000,3111400,2111000,142355.893977297,86177999.9999999,22358000,2758100,90772.0664825164,654740.058694678,173622.662199752,238845.3151821,130233.128492379,576444.228743099,2498800,193145.075238371,1086000,12825000,224489.646459321,238732.557283535,13483000,2470600,110662.264817191,112208.257324809,417616.507383654,274920000,33720000,65348000,144950.661617629,249356.008922288,230781.358851998,435902.613561451,663247.69018811,106028.865469528,188240.879120713,12538000,892609.469754866,58439000,26798000,177799.797329692,284390.409776343,6610500,143056.876236093,225923.400512469,9181699.99999999,3933700,453470000,64854.4628162853,520026.692309158,68730.0214735657,734989.968783239,14783000,3508900000,158950000,258790000,332811.773417887,143490000,19069000,228230000,289150000,317868.708623479,2009900,231376.337542159,37465000,73844,259493.781916045,201886.710382382,151700000,490374.300956595,9490300.00000001,453278.451534876,142899.81837005,517940.108160443,364738.10771675,841423.194563737,510218.54221938,283410,215973.168239657,4418300,301682.332174661,986990.000000001,475925.160215631,483190000,24487000,487954.166172682,866471.54627835,50051000,7792000.00000001,169503.830057512,5074800,273730000,71453000,206527.243673892,7687300,277236.382066501,402307.261190699,308750.080764133,113180000,193489.026777918,2946400,188094.737693342,313223.348630452,978308.353425816,85891.2300316537,452465.15941106,448757.047547431,411627.925874518,325405.23340078,111790.638179959,131090000,85078000,71984000.0000001,393460000,133279.454126826,44878000,141429.627333976,290938.68649404,5258100,984300,108012.183415507,54697000,7138900000.00001,550479.081433333,9681400,260602.463075255,9916399.99999999,761987.330688045,7438600,423650.265396709,211535.240921969,469256.084727919,238165.468655414,3671700
PDAC_42_imputed_intensity,0,166770000,2673100000,205600000,4155200000,203936.990029059,1.7027e+10,377866.109899228,142686.967188449,5034700000,4984700000.00001,59522000,327820000,5774100,374111.354082908,188883.138781248,317778.868946446,1597900,54660000,453410000,101530000,186510.611297588,2456200,678954.642397734,1246800,90140999.9999999,2019400,2567000,2187300,68221000,25296000,214993.319008898,314718.940902902,138200.516889934,857030.408331415,154090.706562767,460700.543118974,1541912.17885262,179456.797620514,194322.097227527,1038000,15954000,307032.59751885,276393.659716182,3263000,2757300,312709.362243171,174931.752328571,94298.0744509738,319120000,35226000,126800000,4953300,205611.92483924,178247.8591561,128185.408446399,193428.101471633,147021.814899676,368869.692683622,21118000,273231.38404947,103580000,38795000,1066696.42809318,143174.868487156,8128100,307573.555679906,325232.669112576,22458000,4709300,317360000,591238.748609041,139030.154029531,123824.136626858,141086.087558,15290000,1782700000,122590000,177840000,270428.179796995,58492000,9488800,165070000,258900000,355380.785315771,8225799.99999999,1204600,24948000,6774700.00000001,884246.523583448,805417.377380632,134840000,3843200,24922000,414535.548326467,178378.842367457,241194.117278385,6489199.99999999,230711.935425147,249050.855910791,161569.139424883,690838.925392103,251232.885212824,412317.120986233,1878900,271719.793758114,1.529e+09,20338000,54475.5263923227,206566.158310986,151960000,482856.355811863,314930.766204544,15204000,109290000,73131000,317053.027568912,11350000,241869.13541144,3089300,188943.105726081,102080000,121292.549955942,751667.072911743,133388.530937189,1303500,418377.190130794,171909.107846206,403603.822939416,321086.352316677,123355.549571998,41353.6183198327,570020.705759613,65008000,98211999.9999999,56249999.9999999,513760000.000001,271895.698553265,22837000,1102453.02969844,305617.144618214,3807300,1124700,369620,38319000,4493399999.99999,277023.455527407,8530400,971188.698579577,34341000,252004.612182743,8142399.99999999,173446.235493548,359899.067399708,799678.347428248,358686.220310082,5001400
PDAC_43_imputed_intensity,0,78039000,5252199999.99999,228240000,3773900000,622595.566394264,2.1722e+10,338704.724993388,843298.717429575,1.0518e+10,1208700000,57453000,805190000,150377.214026154,437141.779516374,549106.872932961,156358.415485139,1516500,40995000,76965999.9999999,51045000,120237.3380036,3880400,589371.400756408,324028.396431755,51736000,207318.417125671,1146682.70951112,88707.4914221922,94978000.0000001,22100000,2744400,788323.411889378,82000.3159135105,454286.842265258,37359.6937683487,437999.581846779,550389.320605448,611170.970343729,97942.6947475083,1330600,86903.6898327452,484752.138922779,158653.57441923,11927000,2325600,103582.543391483,193917.95762912,315823.783602441,105700000,55873000,81707000,152722.841554325,268460,243519.506432174,88088.9422501354,202893.286702451,493120.131389583,499920.469412933,6148200,120051.43861638,52981000,46640000.0000001,283815.490525778,111576.381875309,141550.377414501,225297.887597318,173922.049628801,5369700,609149.999999999,381870000,148171.775883741,698660,562487.943329471,350462.360901531,18877000,1798200000,137860000,162330000,18629000,17854000,22338000,343560000,244890000,191468.199515866,444089.995390505,458954.976226419,18958000,3497800,221135.774122575,103466.596178546,88960999.9999999,254403.350096438,10498000,1198277.84117303,205782.291808414,417573.344019111,584555.069007088,171369.549171001,476282.663113076,290230,275990.967065713,156721.566133566,1137757.77107258,392378.501296711,214715.36609229,492490000,19236000,348860.596549928,187240.200863604,57910000,86447.9865327271,262817.430829175,8504000,171160000,68674000,145634.184553665,1847400,1465161.03199721,249219.824208144,261780.300527065,162134.143570565,525588.913886814,458997.30975787,69492.3017853224,1625000,526569.711270194,170096.756296518,246150.060385402,104102.157291217,164866.422086662,522518.266058414,80714.332510206,98299000,62734000,51936999.9999999,242250000,109344.578002329,23839000,247615.448490875,423378.620927386,407176.491492222,123604.248279386,608280,11786000,7872899999.99998,382846.79554955,776608.700820583,267526.157991331,12151000,270257.45761265,11870000,311327.558253477,294324.511669956,220424.2251893,402989.988616113,122681.818860946
PDAC_44_imputed_intensity,0,61982000.0000001,3385700000,143730000,4.362e+09,424838.624270592,1.3016e+10,394571.205710373,224684.4138562,8016199999.99998,3504400000,108720000,321490000,13853000,429346.457828041,57870.0071224862,249847.099560945,1642400,40100000,249060000,160010000,2380844.32332086,2425500,257122.823995571,644530,112840000,1849200,2721800,240925.194368043,28346000,26414000,3807200,54093.5956584233,402166.232332768,816672.144234765,265241.857053653,297649.30492764,377906.3580769,100695.972872586,152793.943290462,215595.574612729,5463300,308636.236050827,268632.885228532,261751.020750523,978210.000000001,5413200,284289.113438216,311847.876853103,420560000,25472000,128450000,524906.858864168,373851.113702376,119561.615309387,150887.76208056,266509.949093149,287513.504352361,80666.9593902542,7722499.99999999,235211.009853344,82000000.0000001,35954000,228588.539869583,281363.158285993,5181700.00000001,250558.050976982,804414.22242205,9397000.00000001,5621700,253400000,258192.759816163,560415.119692961,260270.568405547,253535.758513793,13369000,1.952e+09,31427000,134980000,161890.632522704,157640000,17728000,142640000,191100000,206279.435824502,3216700,712630.000000001,25307000,55685000,205540.913728338,51495.2112328147,84920000,336991.205440786,17931000,270768.875252227,150940.313316117,448681.942982218,204349.233740223,342890.332782915,171896.498343157,151830.468856106,133531.732372606,167011.064152559,85054.808243099,661130,233600.351354337,1.376e+09,26802000,164459.24972899,934920.693609395,69594000,191939.016115572,229818.196579137,329763.580148539,171370000,42007000,349980,8131000.00000001,135503.859512358,71318.6483706998,3427100,269590000,142439.23555323,125156.699872825,310789.231103119,779503.973510427,710361.087159629,132972.769215872,352089.080201162,479729.861280874,317717.195058332,265984.519043728,143083.33597308,91620000.0000001,104550000,69720000,438690000,365074.342575519,5624200,355492.436051304,290939.080002458,4108500,469690.611400316,179461.216567437,35927000,5586600000,117795.244913474,6323100,537470.019700718,9539199.99999999,185689.928743435,3555900,89667.7020823287,303684.716295913,1692600,578100,5583500
PDAC_45_imputed_intensity,0,126930000,3772700000,157380000,5680199999.99999,88843.7653068427,1.9366e+10,132590.91750926,600750.002229284,1.8381e+10,4230900000,93975000.0000001,547520000,4531700,504246.309004697,286436.213471843,111296.888367393,7233500,18434000,641060000,66934000,90551.7568697734,3433400,148381.043014539,983992.253499938,78335000,2604600,3461800,172031.861096913,50877000,40074000,2320400,2273300,50813.3252328739,204870.848360482,203672.693197046,90939.8162533758,586773.003741197,2135900,1348300,1319800,4346600,161052.645394294,140842.533862261,4963500,137995.359232552,806489.835540141,200278.509214493,90178.7803966367,173160000,47799000,56530000,157542.89459202,2789400,285132.126842903,45378.4650409802,342126.213017439,247115.187186975,593676.513478867,5966500,194739.747957298,69451000,21097000,414800.898967135,109370.988284824,5866300,164723.77582545,102665.594894841,4807400,1970400,511970000,807404.053116953,1358600,295409.9857424,172221.732641194,372174.478155967,1858400000,134920000,141490000,14744000,67639000,43433000,53211000.0000001,192100000,185443.01468986,297690.135329758,124810,57381999.9999999,383190,223439.813154291,2364100,124060000,541909.147550507,8077399.99999999,371332.159100204,144885.927817838,478089.390425057,2923300,133605.607032685,338762.675279548,230159.577828566,77357.7847788608,267429.693613481,721460.27314713,683129.999999999,235407.272272394,1132300000,14058000,581890.324915063,40697.2154254945,87125000.0000001,219518.962034247,640730.421730728,17569000,275080000,73296000.0000001,119167.738161896,3683000,248019.050369313,135256.302256386,161245.460609113,45970999.9999999,531495.028106461,343609.477303082,195460.845444217,2911000,361022.228008306,330380.39862327,407292.63624789,133315.648511182,119829.631721882,91374.3972026565,103642.157263157,111470000,75118000,55418999.9999999,316430000,90377.269670396,22446000,243530.850030144,178554.605519384,3725900,407115.231109293,406932.243628406,27718000,7209300000,226260.09566277,5357400,90180.7142171771,10192000,101239.575908646,5026100,145570.803095443,104922.735627139,369876.715214022,145364.917753238,1269600
PDAC_46_imputed_intensity,0,306041.14628799,4581899999.99999,169900000,3.745e+09,222534.353962478,24046000000.0001,2815200,414309.587311089,1.1238e+10,1540600000,38891000,877320000,8121799.99999999,144007.168102631,200429.086223528,115168.51969636,3907900,33886000,120680000,121880000,228909.413535852,399496.496455675,285661.702501608,1704700,176230000,1023500,4116100,745506.012948117,30569000,26478000,3365600,350413.059392181,855587.648468689,225824.044156038,617883.479774005,206793.381551726,201852.574095664,145928.649987373,376603.508843396,833397.892671882,2391939.67675513,156983.187600777,419294.771553327,6506399.99999999,1254000,423364.480308999,958892.001044226,475459.062174683,207880000,41348000,76907000,453947.967685506,364300,224385.654419917,359088.235883514,512248.153138194,1373948.13992029,314577.319094685,3082200,10805000,76763000,30731000,397332.93470242,121671.326055157,2889000,341035.63706845,751674.283623547,6680800.00000001,1460400,488840000,6804700.00000001,3139900,995316.220911255,802397.485853773,16917000,3833700000,85800000,246210000,318035.353801306,101190000,93312000.0000001,401410000,131770000,209271.981309881,9196400.00000001,733785.549575699,36534000,12749000,119484.369742383,364812.377112143,163940000,102471.628183555,10403000,371650.552462353,795135.577739519,1229510.35893182,3311200,417562.723333179,670536.042913734,807944.308227634,311576.661735199,349365.60145722,524392.907980986,1406500,120225.670428689,685310000,48132000,620777.756514354,99874.2313550567,89478999.9999999,743143.463860449,9727900.00000001,7149500.00000001,302310000,55810000,171163.277795934,4241500,268206.209252077,265567.700719176,171303.433796675,33568000,1671755.132869,478413.642656629,424118.529326535,1512921.56442662,106802.180277336,229739.309861416,117498.265147511,207395.794581707,567715.077956878,312238.817813841,231255.583931923,107960000,139200000,94285000,398970000,339941.671135026,32444000,990121.1358214,300430.601794654,252705.596846984,233809.765614539,574878.67754702,60549000,8944399999.99999,239029.525019074,377274.398867982,993771.608895415,9613100.00000001,189659.076752499,10930000,119000.643535576,276558.107111755,280955.940780309,239020.006924789,209166.935457966
PDAC_47_imputed_intensity,0,84289000,4419700000,185500000,4310799999.99999,80696.4604337304,1.7101e+10,123258.668034512,636237.555595988,8115499999.99999,4324900000.00001,108540000,729900000,3589700,598888.066267122,93003.2071425433,523990.834807143,2015400,42914000,331840000,98041999.9999999,1149945.53792952,2400800,183718.311306023,638566.912896891,116330000,392187.375230191,2859200,290834.701179206,73762000,18993000,8272200,92397.138668636,166658.513663942,169095.966675859,128686.942649728,104859.827807371,410255.434730703,1537600,1899800,1575500,3189900,5577800.00000001,151994.26020971,6918599.99999999,202874.180896878,3636800,78060.8146405712,589560.953814422,259330000,28427000,55215000,141671.721972169,132584.175804972,49790.0076931726,243360.74111244,261477.003833347,135339.572779593,183822.18699136,2776400,342002.323065514,50751000.0000001,36344000,491214.772465753,311477.910468724,5066600,180146.300648261,82180.0711217576,3770900,2515600,426630000,561641.363943413,156503.444014814,183393.123071044,159783.966310194,400044.267233218,3255300000,90536999.9999999,192740000,224547.078941428,75038000,8646700.00000001,110630000,294590000,170122.639001445,13427000,485926.954665968,22245000,615010.000000001,159564.655551321,4250200,73387000,2369300,12140000,321137.099569392,212412.748192062,263923.062854501,4185800,302831.834152691,353078.275233769,236842.443516296,190790.602879105,511017.175632658,247311.351441379,1059500,1073734.98275679,858720000.000001,249813.898993131,446345.968510852,2680100,76278000,102943.196071178,232350.008717625,7581900,150170000,77326000.0000001,620101.708864126,7135000,195019.66617785,1292900,4331100,104180000,272557.867850428,95517.7247966813,166021.715069245,2100900,649371.403606946,175752.284048964,426483.741333512,520405.746984311,103613.06933383,253032.326977541,159842.06869742,97648999.9999999,121690000,47015000,341020000,194840.047790432,23896000,80853.0226931772,276069.081986459,3646600,777330,851330.000000001,92446000.0000001,4656600000,176565.418156922,8177299.99999999,265554.587934543,8464099.99999999,390173.987235051,7390500,254299.080218044,166374.415426369,264169.898829087,77161.7037104253,6134600
PDAC_48_imputed_intensity,0,1359439.88815189,3866800000,121970000,5060300000,307053.653197823,2.5237e+10,859645.779343307,320762.232719552,1.8344e+10,4774299999.99999,52357999.9999999,425330000,5813600.00000001,477854.314784958,227677.190508653,276869.471808739,6468400.00000001,17391000,185500000,65381000,375554.786284631,3670400,69448.508766363,1032000,134540000,2321200,3666700,160122.784858438,38792000,56926000,16318000,584829.282728194,530517.660339357,167713.266017059,159894.499217495,380643.549741745,129763.171209871,1855400,153703.446376539,318095.506869096,6624200,407568.955125713,434045.699321452,10969000,2291400,244393.001491308,525489.04432607,239036.610230321,266590000,35729000,45485000,65828.0895113493,915258.726014411,142334.370115571,606526.427015382,1469599.94223824,380902.339573149,231600.90697208,2465100,435610.115425333,42747000,20223000,441219.139310708,271476.884577122,4728900,355956.966118851,327652.712259749,7287900.00000001,1373300,478990000,320978.90801151,2024900,831154.153593208,219020.708623704,12279000,3585200000,91295000,179270000,103540.079269146,148420000,13191000,218210000,140850000,369510.900954044,1213268.64923999,175265.298088123,45259000,93220000,208516.04940816,150989.160132212,145190000,191147.602095061,21375000,194855.387738543,312336.832513139,325354.095127903,240477.370092483,327430.817139131,443144.719010839,221105.088709048,201539.409489414,1075591.3386932,214504.256407448,354923.409085146,336997.966675644,738830000.000001,21464000,432352.204707807,3466200,63113999.9999999,439477.215827347,14352000,39406000,295960000,75902000,172724.182978647,5337100,320843.301298148,202981.405413085,124387.948641689,32838000,218488.388957884,422651.268043568,797588.175305693,540732.727727002,622546.892118997,218347.926004767,240761.44328853,88532.4795651449,208687.022722039,89957.4042127026,272564.680807453,104850000,86948000,36986000,231310000,100554.899705413,15916000,444997.353540276,2497266.5363118,739286.168240336,629940,258239.767393109,62047000.0000001,6503900000,342736.906567575,8437700,628434.248039694,7661100,402364.819827826,4592400,584889.318586013,612692.333485346,151950.874663633,138088.651369518,7512899.99999999
