,Group,ADAMTS13,ADAMTSL2,ADGRG6,ANXA1,ASPN,ATP4A,ATP6V1G1.ATP6V1G2,C4BPA,C4BPB,CCN5,CFI,COL1A1,EGF,EIF4E,F11,F13B,F7,FCER2,FCGR3A,FGFBP2,GALNT7,GCG,GSR,H2AC8.H2AC17.H2AC7.H2AC20.H2AC19.H2AW.H2AC6.H2AC12.H2AC14.H2AJ,H2BC12.H2BC12L.H2BC5.H2BC10.H2BC18.H2BC9.H2BC15.H2BC14.H2BC13,HPR,HPX,IGF2,IGHV1.24,IGHV3.74,IGKJ1,IGKV1.17,IGKV1D.33.IGKV1.33,IGLV2.18,IGLV6.57,ITGB2,LCAT,LDLR,LILRB5,LTF,MMP2,P4HB,PDE5A,PFKM,PLIN1,PPM1B,PROC,PRSS2,PZP,RAB6B,RBP4,RPLP0,RPLP2,SBSN,SEC22B,SERPING1,SEZ6L,SGTA,THBD,THBS1,TWSG1
ILD_100,0,3.14610148207791,2.94056860407877,2.8878301028092,2.67414861462636,2.88461975099392,2.54496598780709,2.37512916428052,4.05314168571372,3.76334430250239,2.5423131939228,3.61026920362378,3.16533818393474,2.98769491912604,1.57030900544496,2.99009842659625,3.36834544617446,3.10428519618399,2.23875038651479,3.0085637681027,2.76636840220522,2.51961634596081,1.38936408560958,2.32053484807991,3.48637306486342,3.11646963755896,3.69789128765976,3.75448611175963,3.07678093325583,2.49016158206012,3.5142573904409,3.26637750679861,2.95922312878424,3.73122300745286,3.32828310990908,3.07165304150367,2.72562252800054,3.30347189450378,2.24780343807131,2.61667199763327,3.18412589260967,2.19520265076608,3.58184395408876,1.46679795013116,2.10424819174005,2.36971880789396,1.32334281925448,3.74873178441735,1.82167318801055,3.15884782713515,2.78305226205334,3.47764092179259,2.23720282943014,3.21889003962309,2.77388383805622,2.30612578872911,4.05759841876978,3.06705272609754,1.71571592926784,1.93630546828175,3.88794208208196,2.3031889722015
ILD_101,0,3.07937332294547,2.9690326514971,2.93424496697095,2.79389042041701,2.71508661041018,2.59232034797095,2.5309511727808,4.0380554656853,3.71583647135889,2.41247504885786,3.61748138108088,3.06706664099482,2.95672265232385,2.44408067722861,2.92091566197154,3.31396520783141,3.02023371483196,2.16399272134378,3.14952319598855,2.75470138269699,2.35740909408589,1.97814595399207,2.58772451119591,3.69805048780074,3.44810706020314,3.70619537418103,3.78375082956476,2.99969774824473,2.65590914965059,3.43702625970507,3.00404411965508,2.90045736287529,3.62268519422029,3.18883703696625,3.21778484665981,2.9390907487551,3.30905609292833,2.3555727067379,2.15611227329598,3.27069229085248,2.11541772953872,3.5223759992382,2.49485305776209,2.54896328415616,2.55404795133928,1.66780313564614,3.65233203610239,2.16356453028967,3.35118453490096,2.9579743004172,3.38100406609703,2.62874636749515,3.34330608100071,2.65123116435886,2.27667993784891,4.03944369330854,3.07916278219051,2.47677284875646,1.77720616881794,3.7362738413041,2.53212667577466
ILD_113,0,2.88517865408501,2.72767472095236,2.7475074640954,3.0436868497153,2.99674529721102,2.32674684829496,2.20920982010056,4.01604258801219,3.73003590386918,2.77594735927902,3.56731529825974,3.20110042098986,2.97047806257428,1.5158193645306,3.07876432345991,3.30300152251428,2.94648377600661,2.89841889707699,2.93924706951594,2.95794349732721,2.71197000390335,1.77615321682418,2.24957851981222,3.55563066549669,3.43990863093298,3.39045337713721,3.84032164810714,3.40138696389785,1.69433557132144,3.1891854860264,3.54068230938382,2.96909828704049,3.39516497995378,3.00658763567208,2.55349576119677,3.05788754311303,3.16856102860945,2.09138769728725,2.13494830154809,3.39032309147037,1.93192187458699,3.71995540063443,2.32104164338665,2.10621189016964,2.32917820915347,1.42763059564145,3.78093333183176,2.50227389232507,2.95658721703462,2.57688291404871,3.37744416551319,2.86710404233562,3.26208650144606,2.60494692827995,2.41997075179268,3.98905110794285,3.3421535411416,2.12244432157168,2.33257411935775,3.8944870305395,2.62042763763282
ILD_114,0,2.91540976189771,2.91995356546929,2.80399646783791,2.57835995245157,2.87899761617757,2.44031888145884,1.87967455232664,4.04788652092216,3.76240021581495,2.3251125375009,3.69558531791537,3.02765016655471,3.07481794323458,2.10427252792666,3.13935780582712,3.27675583341902,2.83605687915865,2.64619965031425,3.05359889541283,2.84541437024351,2.23043543532064,1.81906026648074,2.49281561258133,3.56056699307328,3.416483354469,3.47958818819764,3.865560120741,2.77557933081154,2.67645221422779,3.59285743680893,3.34387962603362,3.09962086242488,3.69054439329678,3.30305847436878,3.33023127452208,2.72760937011298,3.11672854182656,2.25182033794301,1.92675210720785,3.07280489069605,2.3838480771617,3.62921527284647,1.63461161427657,1.9884972889682,1.83544415735226,2.22256769278563,3.78565900653827,2.18786041349315,3.02703949046105,2.69723493026701,3.31042560758658,2.69098981648078,3.24747881254558,2.49716906950956,2.08817390928219,4.01038464861114,3.2207617441984,2.37894896462812,2.13857412708099,3.73455476660675,2.74842460128642
ILD_115,0,2.96249156011045,2.91307063511477,2.74926181873312,2.85606396898652,2.98503579782564,2.07915575292772,1.94870638636415,4.02576627142985,3.73839025897208,2.71672074127881,3.62409821081008,3.04713143290617,3.13060128276787,1.51022548582021,3.01085832021775,3.33585082986662,2.72102794628303,2.85004213799873,3.07471073535424,2.91577580912691,2.51815055048047,2.53527005391935,2.08679513793277,3.57975433469698,3.45643617045544,3.34619854559676,3.83826399107909,3.18267404626276,2.07450318023833,3.22473564747941,3.38338860422195,3.20063502295883,3.53860628060444,3.07765685565519,2.90408326950047,2.89850161860235,3.12702927527061,2.40409348415262,2.16775817248938,3.05735760010311,2.29370816734059,3.70921563657058,2.52517581123293,1.9784576443763,2.38912443441155,1.23474998620467,3.71544664898345,2.33508565545139,2.39313455164223,2.75715696160773,3.33502269222481,2.84262001302596,3.23418626304307,2.48105227797544,2.2632258123308,3.98487161746637,3.28966836877817,2.32766544341121,2.40572784832234,4.03809449825502,2.74284481726895
ILD_120,0,2.86033701497597,2.94176806189086,2.88014901738262,2.90431998016977,2.92747734581006,2.58618887088319,1.94134919342227,4.01201294531713,3.74286347630575,2.88872681167396,3.60342672602087,3.18200706571856,2.98529541807559,1.19572904126772,2.94238114528364,3.29506382015976,2.91551130132222,2.63227911448883,2.99181111136138,2.98548015181774,2.47520793679544,2.28189272126091,2.15009783182484,3.37886237170344,3.27536404329647,3.41653719830589,3.79964982439679,3.12023385752115,2.22887007156886,3.21577962817861,3.43764157931302,3.01006268768609,3.49065493424657,3.22357475643379,3.00955947618202,2.87961723451033,3.13865796986688,1.99797672016774,2.34102233930347,3.07631446283812,2.31869108666078,3.71891954236258,2.49600262407419,1.69903618979673,1.67311126665462,1.38120344913,3.78901419241877,2.47420856246916,2.99041703074488,2.51249586169144,3.3688906868703,2.88301227665852,3.21060115572593,2.56090909948439,2.14813721507528,3.99832155847626,3.37831522929065,2.08869979800114,1.92534692452055,3.85724969030197,2.76309281713047
ILD_121,0,2.94550655090391,2.77621041127619,2.87491942362196,3.06873672436291,3.00664401424424,2.44927924382537,1.86252013608798,4.01078317061313,3.73304454197881,2.67242143886958,3.64619404304092,3.07617967353931,2.92154943973491,1.76049538869168,3.10696442490646,3.33809494565046,2.88409732320501,2.67065014843176,3.04542000272351,3.03556696055318,2.27132007165403,2.02984822973276,2.28230967088817,3.67208331181128,3.56942854311268,3.46079456759082,3.83345796110834,3.11974115787823,2.16174077523778,3.29499634473367,3.43863996062503,2.58751691189773,3.57606968683239,3.11513702522418,2.92966494217265,3.05150407693858,3.18174089692953,2.10231611158656,2.45751047181195,3.37041153545853,1.96567151737078,3.67172525166341,2.14752122467841,1.42601565175342,1.98191713088969,2.01769981095928,3.73197306974164,2.44590005292113,3.12332482334519,2.50576453593794,3.29830122339321,2.8798616646611,3.19674986492542,2.58753651254227,2.37020188016016,3.9850752459269,3.31801050662065,2.14782191827955,2.25852881701586,3.80209830526127,2.50729950765366
ILD_122,0,2.968865698591,2.82913725614178,2.78916930947886,3.03699760436679,3.05037870036172,2.75651950453011,2.07118888176785,4.01578404333067,3.71640491484919,2.64210832013586,3.63158125981677,3.10602186618502,2.75499998323376,1.68436236098875,3.06430531494886,3.34171935698074,2.93311317827289,2.68657010093256,2.9676193701168,3.13247649916525,2.41477712981447,2.70799167007435,2.33222648783248,3.65299469782546,3.5132954453581,3.39497452727683,3.83173747356547,3.20784936940098,1.85024390341085,2.84739016424186,3.34627189205113,2.72379955449363,3.419174062515,2.97774808799969,2.47606933023142,3.09048729692045,3.17749718594044,2.08218148620102,2.14492708489239,3.18614887798241,2.21867831144689,3.69485712841769,2.58534924642662,1.85806041766383,1.92790799837756,2.10407726534468,3.73423560117586,2.38244510852066,2.86335151090317,2.48590542955016,3.34682391232627,2.81689470182856,3.10708296501192,2.5493149940323,2.33999507295937,3.98613016058765,3.26468386919057,2.02764170356122,2.24377370485824,3.87890150482088,2.6157011129028
ILD_123,0,2.99488830380851,2.81588299423004,2.90429223455347,2.89817939540284,2.96892864842302,2.58554312748052,2.06429817183032,4.00358512449239,3.73300757964579,2.45482803201555,3.64032504136878,2.66491896325279,3.13217436119187,2.16194411796707,2.98173695018274,3.24855183071499,2.898029117454,2.44038698876904,2.94871230233609,2.8033320351121,2.09920057366319,2.48996024708187,2.30139865185088,3.60229499631755,3.42959582501024,3.59621333450729,3.81363548493406,3.12356327066449,1.93602944178073,3.31293857492891,3.6103387064563,2.9237825026841,3.56644761138786,3.02655460087503,3.02665373404821,2.9239760410208,3.18560623938944,2.37301875372813,2.02090085448368,3.13520038289027,2.1020775396641,3.64938053141612,2.49924955636621,2.17936377236264,1.74610951554597,1.55939582364313,3.77431608784886,2.43058413556309,3.0714609658365,2.63883314949542,3.34760181803594,2.67154343407743,3.11779314805795,2.53350993997836,2.173716310826,3.94449596664508,3.26570441242395,2.5012120990276,2.01607842058281,3.89797122557327,2.59794783663593
ILD_1,1,2.96889226002797,2.7919479795998,3.02015887049292,2.93593435078878,2.83914794769508,2.91416836550571,2.28860393653956,3.99328961933539,3.70473833143532,2.67555390731771,3.59786613933036,3.09445571571496,2.94071960132271,2.13552006679606,3.06068245253844,3.36997541866998,2.92934584348479,2.89964073238917,3.14962964965932,2.84348436837851,2.74246855842522,1.62162792476818,2.40361028839567,3.76864342349327,3.52903151889251,3.48609730770645,3.78171613085996,3.18594064720755,2.33124321980905,3.392125651052,3.3100067130298,3.24788159657822,3.76324098617233,3.27044674109549,3.16200421723709,3.02631665711013,3.21038815105591,2.47136264127184,2.57561822705005,3.18070112029742,2.27523763418944,3.62303885829363,2.52071950554491,2.56191918705776,2.35619621512353,2.63434584185077,3.65374319931869,2.42274720300687,2.65376671649478,2.84495433186514,3.2768120098197,2.89586240583297,3.28725416132329,2.70109424281449,2.42060676419602,3.99727062035475,3.22480609185931,2.85029424372863,2.28906259598764,3.86209707268768,2.73504050483183
